iteration,seed,seed_val,seed_test,n_val,n_test,time_train_sec
0,42,142,1042,3279,3279,57.89503717422485
1,43,143,1043,3279,3279,56.90704298019409
2,44,144,1044,3279,3279,56.368958711624146
3,45,145,1045,3279,3279,56.23024821281433
4,46,146,1046,3279,3279,55.310030460357666
5,47,147,1047,3279,3279,55.433678150177
6,48,148,1048,3279,3279,57.19211196899414
7,49,149,1049,3279,3279,56.744993448257446
8,50,150,1050,3279,3279,56.57884359359741
9,51,151,1051,3279,3279,56.03666138648987
10,52,152,1052,3279,3279,56.95565438270569
11,53,153,1053,3279,3279,56.13782548904419
12,54,154,1054,3279,3279,55.28018498420715
13,55,155,1055,3279,3279,55.44772744178772
14,56,156,1056,3279,3279,55.448060512542725
15,57,157,1057,3279,3279,55.52017879486084
16,58,158,1058,3279,3279,55.643224477767944
17,59,159,1059,3279,3279,56.46428680419922
18,60,160,1060,3279,3279,57.46706795692444
19,61,161,1061,3279,3279,56.00746989250183
20,62,162,1062,3279,3279,56.55596852302551
21,63,163,1063,3279,3279,55.1189079284668
22,64,164,1064,3279,3279,55.19117569923401
23,65,165,1065,3279,3279,55.747063636779785
24,66,166,1066,3279,3279,55.55189800262451
25,67,167,1067,3279,3279,55.474674224853516
26,68,168,1068,3279,3279,55.32896637916565
27,69,169,1069,3279,3279,55.71565365791321
28,70,170,1070,3279,3279,56.16426634788513
29,71,171,1071,3279,3279,57.95659804344177
30,72,172,1072,3279,3279,55.82738399505615
31,73,173,1073,3279,3279,55.08742713928223
32,74,174,1074,3279,3279,54.675689458847046
33,75,175,1075,3279,3279,56.064324378967285
34,76,176,1076,3279,3279,55.56278395652771
35,77,177,1077,3279,3279,55.992491245269775
36,78,178,1078,3279,3279,55.86509299278259
37,79,179,1079,3279,3279,55.485695362091064
38,80,180,1080,3279,3279,56.226399421691895
39,81,181,1081,3279,3279,55.12704348564148
40,82,182,1082,3279,3279,55.62072253227234
41,83,183,1083,3279,3279,55.61196303367615
42,84,184,1084,3279,3279,54.94555401802063
43,85,185,1085,3279,3279,54.60691213607788
44,86,186,1086,3279,3279,54.840330362319946
45,87,187,1087,3279,3279,54.696667432785034
46,88,188,1088,3279,3279,54.76356887817383
47,89,189,1089,3279,3279,54.742021322250366
48,90,190,1090,3279,3279,54.88494539260864
49,91,191,1091,3279,3279,55.05787634849548
50,92,192,1092,3279,3279,55.32743000984192
51,93,193,1093,3279,3279,55.134551763534546
52,94,194,1094,3279,3279,54.423996925354004
53,95,195,1095,3279,3279,54.558797121047974
54,96,196,1096,3279,3279,53.504624128341675
55,97,197,1097,3279,3279,54.4556679725647
56,98,198,1098,3279,3279,54.290600061416626
57,99,199,1099,3279,3279,54.31603264808655
58,100,200,1100,3279,3279,54.457655906677246
59,101,201,1101,3279,3279,54.77215003967285
60,102,202,1102,3279,3279,54.36570167541504
61,103,203,1103,3279,3279,54.11219549179077
62,104,204,1104,3279,3279,54.31287503242493
63,105,205,1105,3279,3279,56.285813093185425
64,106,206,1106,3279,3279,54.90491962432861
65,107,207,1107,3279,3279,54.895315408706665
66,108,208,1108,3279,3279,54.7176468372345
67,109,209,1109,3279,3279,54.44242072105408
68,110,210,1110,3279,3279,54.891093254089355
69,111,211,1111,3279,3279,54.7131929397583
70,112,212,1112,3279,3279,54.316009521484375
71,113,213,1113,3279,3279,53.8265655040741
72,114,214,1114,3279,3279,53.91662073135376
73,115,215,1115,3279,3279,53.90065956115723
74,116,216,1116,3279,3279,54.97888422012329
75,117,217,1117,3279,3279,54.38291072845459
76,118,218,1118,3279,3279,54.89640927314758
77,119,219,1119,3279,3279,54.532665967941284
78,120,220,1120,3279,3279,54.575812578201294
79,121,221,1121,3279,3279,53.907042264938354
80,122,222,1122,3279,3279,54.276607513427734
81,123,223,1123,3279,3279,54.14894723892212
82,124,224,1124,3279,3279,53.96694564819336
83,125,225,1125,3279,3279,54.43112301826477
84,126,226,1126,3279,3279,54.80262064933777
85,127,227,1127,3279,3279,54.00961136817932
86,128,228,1128,3279,3279,53.859527826309204
87,129,229,1129,3279,3279,54.241302251815796
88,130,230,1130,3279,3279,53.99582362174988
89,131,231,1131,3279,3279,54.082093954086304
90,132,232,1132,3279,3279,54.15938067436218
91,133,233,1133,3279,3279,54.52621603012085
92,134,234,1134,3279,3279,53.80442428588867
93,135,235,1135,3279,3279,54.472925901412964
94,136,236,1136,3279,3279,54.094517946243286
95,137,237,1137,3279,3279,53.89641833305359
96,138,238,1138,3279,3279,53.940730810165405
97,139,239,1139,3279,3279,54.049312591552734
98,140,240,1140,3279,3279,54.08526611328125
99,141,241,1141,3279,3279,54.162025690078735
