iteration,seed,seed_val,seed_test,n_val,n_test,time_train_sec
0,42,142,1042,639,639,12.859952211380005
1,43,143,1043,639,639,11.542738676071167
2,44,144,1044,639,639,11.517690181732178
3,45,145,1045,639,639,11.430813550949097
4,46,146,1046,639,639,11.450874090194702
5,47,147,1047,639,639,11.549633026123047
6,48,148,1048,639,639,11.563734531402588
7,49,149,1049,639,639,11.631774663925171
8,50,150,1050,639,639,11.507541418075562
9,51,151,1051,639,639,11.5498685836792
10,52,152,1052,639,639,11.561807870864868
11,53,153,1053,639,639,11.704863786697388
12,54,154,1054,639,639,11.458983421325684
13,55,155,1055,639,639,11.4828622341156
14,56,156,1056,639,639,11.579255819320679
15,57,157,1057,639,639,11.641526937484741
16,58,158,1058,639,639,11.605709552764893
17,59,159,1059,639,639,11.454784631729126
18,60,160,1060,639,639,11.490522384643555
19,61,161,1061,639,639,11.407190322875977
20,62,162,1062,639,639,11.569537162780762
21,63,163,1063,639,639,11.474080324172974
22,64,164,1064,639,639,11.54400372505188
23,65,165,1065,639,639,11.43911623954773
24,66,166,1066,639,639,11.609397172927856
25,67,167,1067,639,639,11.7266206741333
26,68,168,1068,639,639,11.270833969116211
27,69,169,1069,639,639,11.532710790634155
28,70,170,1070,639,639,11.903517246246338
29,71,171,1071,639,639,11.573928356170654
30,72,172,1072,639,639,11.779658317565918
31,73,173,1073,639,639,11.63413691520691
32,74,174,1074,639,639,11.451796293258667
33,75,175,1075,639,639,11.549541473388672
34,76,176,1076,639,639,11.542078256607056
35,77,177,1077,639,639,11.890094757080078
36,78,178,1078,639,639,11.78453779220581
37,79,179,1079,639,639,11.910013914108276
38,80,180,1080,639,639,11.948687076568604
39,81,181,1081,639,639,11.788520336151123
40,82,182,1082,639,639,11.633411645889282
41,83,183,1083,639,639,11.47876501083374
42,84,184,1084,639,639,11.777767419815063
43,85,185,1085,639,639,12.09704303741455
44,86,186,1086,639,639,11.813878297805786
45,87,187,1087,639,639,11.808873176574707
46,88,188,1088,639,639,12.013195991516113
47,89,189,1089,639,639,11.844301700592041
48,90,190,1090,639,639,11.851003646850586
49,91,191,1091,639,639,11.808537244796753
50,92,192,1092,639,639,11.476354360580444
51,93,193,1093,639,639,11.509325742721558
52,94,194,1094,639,639,11.533062934875488
53,95,195,1095,639,639,11.577556133270264
54,96,196,1096,639,639,11.811655282974243
55,97,197,1097,639,639,11.923867225646973
56,98,198,1098,639,639,11.493426322937012
57,99,199,1099,639,639,11.366554498672485
58,100,200,1100,639,639,11.574542045593262
59,101,201,1101,639,639,11.63890552520752
60,102,202,1102,639,639,11.91990613937378
61,103,203,1103,639,639,11.524235486984253
62,104,204,1104,639,639,11.506047487258911
63,105,205,1105,639,639,11.735177278518677
64,106,206,1106,639,639,11.538333654403687
65,107,207,1107,639,639,11.471660614013672
66,108,208,1108,639,639,11.485589981079102
67,109,209,1109,639,639,11.767775774002075
68,110,210,1110,639,639,12.457971572875977
69,111,211,1111,639,639,12.273321390151978
70,112,212,1112,639,639,12.243887901306152
71,113,213,1113,639,639,11.806232213973999
72,114,214,1114,639,639,11.92910361289978
73,115,215,1115,639,639,11.96719765663147
74,116,216,1116,639,639,11.918313264846802
75,117,217,1117,639,639,11.930155277252197
76,118,218,1118,639,639,11.516265392303467
77,119,219,1119,639,639,11.887162685394287
78,120,220,1120,639,639,11.748608350753784
79,121,221,1121,639,639,11.717271327972412
80,122,222,1122,639,639,11.847131490707397
81,123,223,1123,639,639,12.025284767150879
82,124,224,1124,639,639,11.732351303100586
83,125,225,1125,639,639,11.733966827392578
84,126,226,1126,639,639,11.841161251068115
85,127,227,1127,639,639,11.805861234664917
86,128,228,1128,639,639,11.843947887420654
87,129,229,1129,639,639,11.649292707443237
88,130,230,1130,639,639,11.62090277671814
89,131,231,1131,639,639,11.610576152801514
90,132,232,1132,639,639,11.840464115142822
91,133,233,1133,639,639,11.826157093048096
92,134,234,1134,639,639,11.853997945785522
93,135,235,1135,639,639,11.951434850692749
94,136,236,1136,639,639,11.782464027404785
95,137,237,1137,639,639,11.896999835968018
96,138,238,1138,639,639,11.817496061325073
97,139,239,1139,639,639,11.808294534683228
98,140,240,1140,639,639,11.924808979034424
99,141,241,1141,639,639,11.975218772888184
