iteration,seed,seed_val,seed_test,n_val,n_test,time_train_sec
0,42,142,1042,639,639,14.116973161697388
1,43,143,1043,639,639,12.621912002563477
2,44,144,1044,639,639,12.478994131088257
3,45,145,1045,639,639,12.664870500564575
4,46,146,1046,639,639,12.869975805282593
5,47,147,1047,639,639,12.488920211791992
6,48,148,1048,639,639,12.71538257598877
7,49,149,1049,639,639,12.820646047592163
8,50,150,1050,639,639,12.586564302444458
9,51,151,1051,639,639,12.436999797821045
10,52,152,1052,639,639,12.544396162033081
11,53,153,1053,639,639,12.731160640716553
12,54,154,1054,639,639,12.680865049362183
13,55,155,1055,639,639,12.621451616287231
14,56,156,1056,639,639,12.503278017044067
15,57,157,1057,639,639,12.58342170715332
16,58,158,1058,639,639,12.421880960464478
17,59,159,1059,639,639,12.451259851455688
18,60,160,1060,639,639,12.537572860717773
19,61,161,1061,639,639,12.2321298122406
20,62,162,1062,639,639,12.527149438858032
21,63,163,1063,639,639,12.518986463546753
22,64,164,1064,639,639,12.472055196762085
23,65,165,1065,639,639,12.555530309677124
24,66,166,1066,639,639,12.559621572494507
25,67,167,1067,639,639,12.364210367202759
26,68,168,1068,639,639,12.553560256958008
27,69,169,1069,639,639,12.63752794265747
28,70,170,1070,639,639,12.621581792831421
29,71,171,1071,639,639,12.433263301849365
30,72,172,1072,639,639,12.449406623840332
31,73,173,1073,639,639,12.810285806655884
32,74,174,1074,639,639,12.676023483276367
33,75,175,1075,639,639,12.441916465759277
34,76,176,1076,639,639,12.537775993347168
35,77,177,1077,639,639,12.6770601272583
36,78,178,1078,639,639,12.498599290847778
37,79,179,1079,639,639,12.516028881072998
38,80,180,1080,639,639,12.470736026763916
39,81,181,1081,639,639,12.412212610244751
40,82,182,1082,639,639,12.477179288864136
41,83,183,1083,639,639,12.46553921699524
42,84,184,1084,639,639,12.609756708145142
43,85,185,1085,639,639,12.54426121711731
44,86,186,1086,639,639,12.456578016281128
45,87,187,1087,639,639,12.557416200637817
46,88,188,1088,639,639,12.510611534118652
47,89,189,1089,639,639,12.344544172286987
48,90,190,1090,639,639,12.3035249710083
49,91,191,1091,639,639,12.206924676895142
50,92,192,1092,639,639,12.392338037490845
51,93,193,1093,639,639,12.48984670639038
52,94,194,1094,639,639,12.416702032089233
53,95,195,1095,639,639,12.527605056762695
54,96,196,1096,639,639,12.509768724441528
55,97,197,1097,639,639,12.286761283874512
56,98,198,1098,639,639,12.426114797592163
57,99,199,1099,639,639,12.352096557617188
58,100,200,1100,639,639,12.377411365509033
59,101,201,1101,639,639,12.313257217407227
60,102,202,1102,639,639,12.388641834259033
61,103,203,1103,639,639,12.332344770431519
62,104,204,1104,639,639,12.714177131652832
63,105,205,1105,639,639,12.482414484024048
64,106,206,1106,639,639,12.459643840789795
65,107,207,1107,639,639,12.345494985580444
66,108,208,1108,639,639,12.483311891555786
67,109,209,1109,639,639,12.601752519607544
68,110,210,1110,639,639,12.446117639541626
69,111,211,1111,639,639,12.520270109176636
70,112,212,1112,639,639,12.56124496459961
71,113,213,1113,639,639,12.545546293258667
72,114,214,1114,639,639,12.6669020652771
73,115,215,1115,639,639,12.480220556259155
74,116,216,1116,639,639,12.661982536315918
75,117,217,1117,639,639,12.71556806564331
76,118,218,1118,639,639,12.60688591003418
77,119,219,1119,639,639,12.86264967918396
78,120,220,1120,639,639,12.836151838302612
79,121,221,1121,639,639,12.811655044555664
80,122,222,1122,639,639,13.055508852005005
81,123,223,1123,639,639,12.821786403656006
82,124,224,1124,639,639,12.944100379943848
83,125,225,1125,639,639,12.526724100112915
84,126,226,1126,639,639,13.046704053878784
85,127,227,1127,639,639,13.164406061172485
86,128,228,1128,639,639,12.991207838058472
87,129,229,1129,639,639,13.005536794662476
88,130,230,1130,639,639,12.704710006713867
89,131,231,1131,639,639,12.89746642112732
90,132,232,1132,639,639,12.728822469711304
91,133,233,1133,639,639,12.605029106140137
92,134,234,1134,639,639,12.653511762619019
93,135,235,1135,639,639,12.82671570777893
94,136,236,1136,639,639,12.556692838668823
95,137,237,1137,639,639,12.621651887893677
96,138,238,1138,639,639,12.71991229057312
97,139,239,1139,639,639,12.661676406860352
98,140,240,1140,639,639,13.132329940795898
99,141,241,1141,639,639,12.864170551300049
