Iteration,Method,Univariate_KS_Error,Pairwise_Corr_Error
0,Ours_Pruned,0.05672926447574335,0.05329652081588757
0,TABSYN,0.0619718309859155,0.04910378270713255
0,Ours_Pure,0.05563380281690141,0.051551985479585706
0,Ours_Pruned_10X,0.050054773082942094,0.03713560545789278
0,Ours_Pure_10X,0.04794209702660407,0.03718638655543209
0,TABSYN_10X,0.06034428794992175,0.038877319950572434
1,Ours_Pruned,0.06651017214397496,0.05255623575048934
1,TABSYN,0.056025039123630674,0.06669496162007826
1,Ours_Pure,0.06377151799687011,0.059526825224394
1,Ours_Pruned_10X,0.0615414710485133,0.04726391644563766
1,Ours_Pure_10X,0.04904538341158059,0.04674633699135496
1,TABSYN_10X,0.054014084507042245,0.057283834716079556
2,Ours_Pruned,0.06995305164319249,0.05313129545497501
2,TABSYN,0.05539906103286385,0.04985200534874841
2,Ours_Pure,0.0656494522691706,0.054558583551170325
2,Ours_Pruned_10X,0.06257433489827856,0.042335175199343
2,Ours_Pure_10X,0.0552660406885759,0.04002062468434601
2,TABSYN_10X,0.059233176838810644,0.045434021667400515
3,Ours_Pruned,0.07355242566510171,0.048148355866845786
3,TABSYN,0.05101721439749608,0.05474233355674469
3,Ours_Pure,0.05696400625978091,0.05765514834971274
3,Ours_Pruned_10X,0.07190923317683881,0.043297833607708516
3,Ours_Pure_10X,0.05373239436619718,0.0443199093522831
3,TABSYN_10X,0.04566510172143975,0.040681123020954675
4,Ours_Pruned,0.05049007495263982,0.04933768031750412
4,TABSYN,0.0649864096861873,0.055156392199047465
4,Ours_Pure,0.056585124783790464,0.04811957500800859
4,Ours_Pruned_10X,0.05325755703813525,0.03854234038011004
4,Ours_Pure_10X,0.04471625072069846,0.03855413422621525
4,TABSYN_10X,0.053512890206737496,0.048332095765514574
5,Ours_Pruned,0.0528786755621448,0.05697603145542478
5,TABSYN,0.05263157894736842,0.07231885984933743
5,Ours_Pure,0.05534964170990857,0.0468159316599399
5,Ours_Pruned_10X,0.05474837328061939,0.04778140499083906
5,Ours_Pure_10X,0.04630590560909315,0.04281149187971318
5,TABSYN_10X,0.04704719545342229,0.057832617341869154
6,Ours_Pruned,0.058726628778519065,0.04760524033399769
6,TABSYN,0.06473931307141093,0.05106173426218663
6,Ours_Pure,0.061609422617576806,0.05778891014946865
6,Ours_Pruned_10X,0.04085330697636109,0.037904611576435335
6,Ours_Pure_10X,0.05047360184498806,0.04038229205863068
6,TABSYN_10X,0.052722181039453093,0.04436800121244544
7,Ours_Pruned,0.07167449139280127,0.0508628323451457
7,TABSYN,0.05688575899843505,0.05555977514433349
7,Ours_Pure,0.06330203442879499,0.052130481707715594
7,Ours_Pruned_10X,0.058145539906103286,0.04311568884986492
7,Ours_Pure_10X,0.05566510172143976,0.04310815441160912
7,TABSYN_10X,0.04869327073552425,0.055334345259859245
8,Ours_Pruned,0.059859154929577475,0.05362287684930266
8,TABSYN,0.05258215962441315,0.05630837445236457
8,Ours_Pure,0.06173708920187794,0.0528266974162713
8,Ours_Pruned_10X,0.05511737089201877,0.04464072559432921
8,Ours_Pure_10X,0.0503755868544601,0.04073424449029019
8,TABSYN_10X,0.04312206572769953,0.03861865137863035
9,Ours_Pruned,0.08215962441314555,0.06706648522739969
9,TABSYN,0.061893583724569635,0.06496237726269563
9,Ours_Pure,0.06502347417840376,0.05887134239107903
9,Ours_Pruned_10X,0.06987480438184664,0.05717496439856023
9,Ours_Pure_10X,0.061032863849765265,0.05040470734829532
9,TABSYN_10X,0.05510954616588419,0.05205893956263379
10,Ours_Pruned,0.06893583724569641,0.05717358292577493
10,TABSYN,0.06541471048513302,0.05913715640024547
10,Ours_Pure,0.0694053208137715,0.055681746945281364
10,Ours_Pruned_10X,0.06336463223787167,0.044385734595670814
10,Ours_Pure_10X,0.05368544600938967,0.04600991431512955
10,TABSYN_10X,0.06020344287949921,0.047725547044245004
11,Ours_Pruned,0.06150234741784037,0.05268182035397312
11,TABSYN,0.065414710485133,0.05773702388927597
11,Ours_Pure,0.05712050078247262,0.05214203410966391
11,Ours_Pruned_10X,0.059851330203442875,0.044137780875521435
11,Ours_Pure_10X,0.05022691705790298,0.04015759705755989
11,TABSYN_10X,0.054405320813771516,0.05176059644987887
12,Ours_Pruned,0.06721027921917469,0.05084685493789016
12,TABSYN,0.06268017461494112,0.06914842566160875
12,Ours_Pure,0.06861049336957416,0.058774233644519655
12,Ours_Pruned_10X,0.056420393707272885,0.04183256362867286
12,Ours_Pure_10X,0.05150317107322297,0.038938012985510126
12,TABSYN_10X,0.05049831150646569,0.053642488884653935
13,Ours_Pruned,0.06596244131455399,0.05313290783388021
13,TABSYN,0.05571205007824727,0.05529708078445205
13,Ours_Pure,0.06713615023474179,0.06018556854636363
13,Ours_Pruned_10X,0.050273865414710496,0.03850761561364339
13,Ours_Pure_10X,0.05367762128325508,0.038658645682859795
13,TABSYN_10X,0.05107198748043819,0.05245533057288867
14,Ours_Pruned,0.07057902973395933,0.04615253118961004
14,TABSYN,0.057981220657277,0.053546318647748226
14,Ours_Pure,0.05219092331768388,0.048232030680230596
14,Ours_Pruned_10X,0.05920970266040689,0.041173575558224096
14,Ours_Pure_10X,0.04961658841940532,0.036975468134607455
14,TABSYN_10X,0.04693270735524257,0.04041346407166398
15,Ours_Pruned,0.05970266040688575,0.05279363554063266
15,TABSYN,0.05242566510172144,0.06287764932061972
15,Ours_Pure,0.06158059467918622,0.04723647518269652
15,Ours_Pruned_10X,0.057723004694835676,0.038625880771720716
15,Ours_Pure_10X,0.0479264475743349,0.038998803644939815
15,TABSYN_10X,0.04630672926447575,0.04855809586800671
16,Ours_Pruned,0.07206572769953051,0.054636186880845365
16,TABSYN,0.05954616588419405,0.04964215813012538
16,Ours_Pure,0.06244131455399062,0.05277038135546905
16,Ours_Pruned_10X,0.05929577464788732,0.03959309827537986
16,Ours_Pure_10X,0.04860719874804381,0.03889142622542623
16,TABSYN_10X,0.052214397496087625,0.04606761747448277
17,Ours_Pruned,0.06079812206572769,0.04503463824220841
17,TABSYN,0.07073552425665101,0.05080395552458047
17,Ours_Pure,0.06823161189358373,0.0503435820688947
17,Ours_Pruned_10X,0.06468701095461658,0.041691095840892964
17,Ours_Pure_10X,0.055422535211267596,0.03615770786104372
17,TABSYN_10X,0.059413145539906106,0.042657224627839184
18,Ours_Pruned,0.07081377151799688,0.04457162181778205
18,TABSYN,0.056416275430359944,0.05542830203487378
18,Ours_Pure,0.05899843505477308,0.0548565585441425
18,Ours_Pruned_10X,0.05970266040688575,0.03521415345018816
18,Ours_Pure_10X,0.05428794992175273,0.037133107211186275
18,TABSYN_10X,0.04788732394366198,0.047801614855472775
19,Ours_Pruned,0.06712791368091592,0.05583946831606096
19,TABSYN,0.055679103862943745,0.07893363049016874
19,Ours_Pure,0.059715015237624576,0.05377942193604934
19,Ours_Pruned_10X,0.050193559014908164,0.05251889659194477
19,Ours_Pure_10X,0.049485215385882554,0.046500412715176576
19,TABSYN_10X,0.04674244296186475,0.06145019079987684
