iteration,seed,seed_val,seed_test,n_val,n_test,time_train_sec
0,42,142,1042,3268,3268,58.871294260025024
1,43,143,1043,3268,3268,57.203516483306885
2,44,144,1044,3268,3268,56.43036651611328
3,45,145,1045,3268,3268,56.28869152069092
4,46,146,1046,3268,3268,56.058979511260986
5,47,147,1047,3268,3268,56.35760831832886
6,48,148,1048,3268,3268,56.636292457580566
7,49,149,1049,3268,3268,56.44722867012024
8,50,150,1050,3268,3268,56.37152886390686
9,51,151,1051,3268,3268,57.03578519821167
10,52,152,1052,3268,3268,56.65138649940491
11,53,153,1053,3268,3268,56.58180475234985
12,54,154,1054,3268,3268,56.45495843887329
13,55,155,1055,3268,3268,56.510647773742676
14,56,156,1056,3268,3268,56.266199827194214
15,57,157,1057,3268,3268,56.619972944259644
16,58,158,1058,3268,3268,56.771907806396484
17,59,159,1059,3268,3268,56.934749126434326
18,60,160,1060,3268,3268,56.8778440952301
19,61,161,1061,3268,3268,56.54746460914612
20,62,162,1062,3268,3268,56.46531128883362
21,63,163,1063,3268,3268,56.12309694290161
22,64,164,1064,3268,3268,55.908578395843506
23,65,165,1065,3268,3268,55.74360942840576
24,66,166,1066,3268,3268,56.2162401676178
25,67,167,1067,3268,3268,55.94142270088196
26,68,168,1068,3268,3268,55.79252886772156
27,69,169,1069,3268,3268,57.61607623100281
28,70,170,1070,3268,3268,56.290048599243164
29,71,171,1071,3268,3268,56.399534463882446
30,72,172,1072,3268,3268,56.033907413482666
31,73,173,1073,3268,3268,55.67107629776001
32,74,174,1074,3268,3268,55.99040484428406
33,75,175,1075,3268,3268,56.10932922363281
34,76,176,1076,3268,3268,56.159749031066895
35,77,177,1077,3268,3268,56.08310270309448
36,78,178,1078,3268,3268,56.46773624420166
37,79,179,1079,3268,3268,55.88059377670288
38,80,180,1080,3268,3268,55.7304584980011
39,81,181,1081,3268,3268,55.720699071884155
40,82,182,1082,3268,3268,56.04792642593384
41,83,183,1083,3268,3268,55.93459486961365
42,84,184,1084,3268,3268,55.733060359954834
43,85,185,1085,3268,3268,55.73012924194336
44,86,186,1086,3268,3268,55.78606176376343
45,87,187,1087,3268,3268,56.003236055374146
46,88,188,1088,3268,3268,55.539103746414185
47,89,189,1089,3268,3268,56.12663960456848
48,90,190,1090,3268,3268,56.78761601448059
49,91,191,1091,3268,3268,57.29232382774353
50,92,192,1092,3268,3268,58.60194754600525
51,93,193,1093,3268,3268,58.21406006813049
52,94,194,1094,3268,3268,58.30263829231262
53,95,195,1095,3268,3268,58.39648509025574
54,96,196,1096,3268,3268,58.31332993507385
55,97,197,1097,3268,3268,57.90077614784241
56,98,198,1098,3268,3268,58.518871784210205
57,99,199,1099,3268,3268,58.24092221260071
58,100,200,1100,3268,3268,57.98353147506714
59,101,201,1101,3268,3268,58.08443284034729
60,102,202,1102,3268,3268,58.40185546875
61,103,203,1103,3268,3268,58.195494651794434
62,104,204,1104,3268,3268,58.417290449142456
63,105,205,1105,3268,3268,56.25003671646118
64,106,206,1106,3268,3268,56.028944969177246
65,107,207,1107,3268,3268,57.35921931266785
66,108,208,1108,3268,3268,56.05362129211426
67,109,209,1109,3268,3268,56.55347561836243
68,110,210,1110,3268,3268,56.54654812812805
69,111,211,1111,3268,3268,56.44039344787598
70,112,212,1112,3268,3268,56.44350552558899
71,113,213,1113,3268,3268,56.54634952545166
72,114,214,1114,3268,3268,56.645325899124146
73,115,215,1115,3268,3268,56.55566334724426
74,116,216,1116,3268,3268,56.69152498245239
75,117,217,1117,3268,3268,57.325040102005005
76,118,218,1118,3268,3268,56.64259719848633
77,119,219,1119,3268,3268,56.698168992996216
78,120,220,1120,3268,3268,57.81062436103821
79,121,221,1121,3268,3268,57.29363012313843
80,122,222,1122,3268,3268,57.189208984375
81,123,223,1123,3268,3268,56.77446627616882
82,124,224,1124,3268,3268,56.9225800037384
83,125,225,1125,3268,3268,56.624985694885254
84,126,226,1126,3268,3268,56.530426263809204
85,127,227,1127,3268,3268,56.34964036941528
86,128,228,1128,3268,3268,56.37904143333435
87,129,229,1129,3268,3268,56.78343677520752
88,130,230,1130,3268,3268,56.86005902290344
89,131,231,1131,3268,3268,56.58064293861389
90,132,232,1132,3268,3268,56.62160134315491
91,133,233,1133,3268,3268,56.58701181411743
92,134,234,1134,3268,3268,56.57585000991821
93,135,235,1135,3268,3268,56.3259756565094
94,136,236,1136,3268,3268,56.38504672050476
95,137,237,1137,3268,3268,56.659536600112915
96,138,238,1138,3268,3268,56.09119939804077
97,139,239,1139,3268,3268,56.47748160362244
98,140,240,1140,3268,3268,56.87299847602844
99,141,241,1141,3268,3268,56.50744032859802
