Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
11,52,0.5479825268993468,0.5612089827221217,10.0000,1360.15,9.09,27.35
12,53,0.5598857907217936,0.5650209438551035,10.0000,1328.54,8.92,27.13
13,54,0.5739126908591747,0.5712842433216785,10.0000,1336.90,8.93,27.16
14,55,0.5481797489378796,0.5626214757082066,10.0000,1455.28,9.21,27.74
15,56,0.56016746341394,0.5682045009780186,10.0000,1358.01,8.95,27.09
16,57,0.543417355223166,0.554681463388456,10.0000,1445.98,8.92,27.30
17,58,0.5523737283689371,0.5609393823811196,10.0000,1328.36,8.94,27.27
18,59,0.5666606769947584,0.5574617174863357,10.0000,1517.43,8.98,27.21
19,60,0.5686432211934682,0.5770436523382367,10.0000,1395.59,9.08,27.49
20,61,0.5581495764306783,0.5632572551993654,10.0000,1567.86,9.00,27.36
