Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
11,52,0.6223020613683842,0.64986138356832,10.0000,852.12,5.64,16.83
12,53,0.6964275655672866,0.7447814342147476,10.0000,915.00,5.82,17.37
13,54,0.6195444270561641,0.6880062499846935,10.0000,1022.33,5.60,16.76
14,55,0.6713247665439691,0.688323892231847,10.0000,824.33,5.69,16.78
15,56,0.6613497713808499,0.678695560600606,10.0000,904.66,5.59,16.81
16,57,0.6771608611851949,0.7257535125550731,10.0000,887.53,5.75,17.38
17,58,0.637084548676164,0.6484655454899455,10.0000,938.76,5.65,17.00
18,59,0.6599685051711767,0.6837908165389486,10.0000,945.39,5.70,17.23
19,60,0.6447672297040808,0.6833148429789309,10.0000,874.26,5.82,17.48
20,61,0.6235020976143769,0.6863870582213504,10.0000,957.31,5.79,17.31
