Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
11,52,0.8103526392225723,0.8325119207682192,10.0000,869.20,5.71,17.27
12,53,0.7107618760729917,0.7766940715760393,10.0000,884.82,6.02,17.10
13,54,0.7197278611680517,0.762600503035602,10.0000,832.10,5.75,16.97
14,55,0.7033706324191016,0.7443085219716841,10.0000,883.73,5.70,17.07
15,56,0.646479118144793,0.7150318009605188,10.0000,848.01,5.66,17.13
16,57,0.6633090142314503,0.7046779372111647,10.0000,842.86,5.69,17.20
17,58,0.711479448767024,0.7454797818383087,10.0000,909.89,5.83,17.20
18,59,0.7710306352110228,0.816586215257114,10.0000,964.69,5.69,17.18
19,60,0.648727349315857,0.7197105953404307,10.0000,949.15,5.73,17.24
20,61,0.7376745256795512,0.790013861643168,10.0000,885.79,5.68,17.15
