Iteration,Seed,TabSyn_Test_AUC,TabSyn_Test_AUC_10x,Achieved_Ratio_10x,Time_Train_Sec,Time_Sample_Sec,Time_Sample_10x_Sec
11,52,0.5669911788808505,0.5630431456548348,10.0000,1797.38,9.50,28.90
12,53,0.5840846253646128,0.5690856094632271,10.0000,1616.36,9.52,28.79
13,54,0.5587962872796405,0.5682622812885305,10.0000,1661.57,9.52,29.23
14,55,0.562758899397593,0.5760858699544112,10.0000,1751.33,9.70,29.59
15,56,0.5660806301676882,0.5639608012266869,10.0000,1728.68,9.61,29.05
16,57,0.5884533303170539,0.5864919871338704,10.0000,1756.50,9.68,29.50
17,58,0.5652118424423473,0.5894132384578622,10.0000,1618.24,9.65,29.53
18,59,0.5570700416036818,0.5805231153622007,10.0000,1745.62,9.72,29.77
19,60,0.5559756883634037,0.5595822318794768,10.0000,1535.73,9.34,28.54
20,61,0.5726463282540986,0.5815220082278509,10.0000,1578.00,9.26,28.24
